gene_id	control_rep1	control_rep2	control_rep3	treat1_rep1	treat1_rep2	treat1_rep3	treat2_rep1	treat2_rep2	treat2_rep3
ENSG00000144840:RABL3	118	157	107	149	122	125	24	46	40
ENSG00000164871:SPAG11B	3919	4224	4040	5696	4068	4367	4110	4721	5065
ENSG00000127946:HIP1	1248	1246	1256	1306	929	1068	480	664	772
ENSG00000166136:NDUFB8	1118	1253	1306	1768	1311	1494	844	1167	1330
ENSG00000203852:H3C15	1041	1013	1093	1137	789	915	563	818	1000
ENSG00000124019:FAM124B	2914	3241	3028	4636	3064	3267	2789	3359	3556
ENSG00000140403:DNAJA4	2648	2850	2813	3689	2580	2734	1971	2251	2392
ENSG00000083807:SLC27A5	139	162	153	187	137	135	135	122	189
ENSG00000158234:FAIM	1190	1244	1161	1606	1186	1207	709	789	912
ENSG00000284465:TAF11L7	2371	2541	2379	3348	2128	2432	1687	1899	1997
ENSG00000096696:DSP	11317	12559	11797	13160	9560	9775	11183	11904	12455
ENSG00000249581:CLRN2	67	70	55	98	55	58	30	44	49
ENSG00000178597:PSAPL1	142	138	153	221	120	111	38	34	61
ENSG00000166747:AP1G1	6	7	14	9	6	4	4	2	11
ENSG00000186472:PCLO	41	50	33	28	28	32	13	2	12
ENSG00000136842:TMOD1	609	644	670	901	649	772	337	372	459
ENSG00000176720:BOK	1148	1184	1131	1713	1292	1316	896	1211	1339
ENSG00000137842:TMEM62	3139	3193	3224	4368	2996	3357	3873	4388	4523
ENSG00000140718:FTO	264	236	309	327	227	248	257	313	319
ENSG00000163746:PLSCR2	1996	2304	2304	3158	2371	2336	3344	3624	3885
ENSG00000162849:KIF26B	667	819	695	960	800	755	604	706	711
ENSG00000168612:ZSWIM1	15	17	16	27	24	31	8	8	9
ENSG00000160285:LSS	844	897	925	1272	878	958	582	745	794
ENSG00000155918:RAET1L	2	1	0	3	0	2	6	10	2
ENSG00000151458:ANKRD50	17	9	33	26	19	22	54	66	99
ENSG00000013583:HEBP1	1000	1144	1012	1579	1082	1125	752	983	1102
ENSG00000151623:NR3C2	141	135	151	199	110	104	19	13	27
ENSG00000172725:CORO1B	30	22	31	37	16	22	6	7	6
ENSG00000197859:ADAMTSL2	0	1	3	12	0	4	0	0	0
ENSG00000224586:GPX5	131	114	119	149	91	123	40	26	55
ENSG00000257341:AL928654.3	848	939	977	1307	898	1002	597	727	836
ENSG00000167074:TEF	975	1117	1097	1401	984	1125	1371	1820	1819
ENSG00000100744:GSKIP	1161	1323	1189	1782	1328	1386	1095	1165	1319
ENSG00000054654:SYNE2	521	595	569	801	598	606	477	509	558
ENSG00000115107:STEAP3	102	95	107	155	103	111	38	44	49
ENSG00000146648:EGFR	8	11	15	12	8	14	10	4	7
ENSG00000105223:PLD3	34	44	32	57	38	44	16	24	13
ENSG00000263956:NBPF11	3927	4167	3975	6020	3970	4681	4462	4793	5543
ENSG00000179933:C14orf119	897	982	934	1392	949	1018	870	1009	907
ENSG00000166575:TMEM135	205	203	156	241	198	191	226	226	262
ENSG00000215440:NPEPL1	1144	1244	1138	1730	1183	1215	925	1079	1283
ENSG00000205609:EIF3CL	174	150	183	195	129	132	153	175	170
ENSG00000047621:C12orf4	296	322	290	412	302	313	395	425	419
ENSG00000142530:FAM71E1	141	129	121	184	152	147	64	70	54
ENSG00000184162:NR2C2AP	49	45	47	44	31	26	26	46	53
ENSG00000106153:CHCHD2	0	0	0	0	0	0	0	0	0
ENSG00000078814:MYH7B	4792	4905	4419	7865	5681	5727	3416	3325	3951
ENSG00000256713:PGA5	50	61	67	71	42	62	33	60	37
ENSG00000204859:ZBTB48	2387	2387	2394	2774	1975	2100	3034	3062	3253
ENSG00000147174:GCNA	64	79	77	120	110	73	16	17	24
ENSG00000154102:C16orf74	321	265	294	373	211	248	93	111	115
ENSG00000100312:ACR	982	1188	1043	1303	990	1026	1334	1495	1653
ENSG00000119866:BCL11A	59	91	72	113	75	87	20	30	15
ENSG00000196628:TCF4	164	186	153	250	121	151	30	37	32
ENSG00000196372:ASB13	690	701	742	753	500	654	303	446	469
ENSG00000064703:DDX20	1270	1280	1405	1610	1016	1216	726	902	1014
ENSG00000164638:SLC29A4	1058	1090	983	1683	1053	1207	1283	1276	1557
ENSG00000188706:ZDHHC9	7	4	8	1	3	4	0	3	2
ENSG00000102038:SMARCA1	539	603	489	703	478	577	402	506	553
ENSG00000130159:ECSIT	1156	1237	1203	1720	1201	1364	1626	2010	2303
ENSG00000108559:NUP88	1382	1628	1451	1961	1390	1545	1141	1190	1191
ENSG00000161813:LARP4	509	545	476	625	512	550	457	492	574
ENSG00000174226:SNX31	2688	2899	2869	4183	2842	3119	3415	3707	4170
ENSG00000258817:OR4C13	1751	1909	1711	2458	1834	1770	1143	1227	1324
ENSG00000081870:HSPB11	1598	1670	1576	2795	2109	2166	2158	2258	2504
ENSG00000108953:YWHAE	739	722	730	815	599	588	209	188	214
ENSG00000107796:ACTA2	1	2	1	1	2	1	0	0	0
ENSG00000110876:SELPLG	53	51	40	50	47	30	127	123	143
ENSG00000118855:MFSD1	4393	5030	4667	6734	4998	5359	5759	5595	6261
ENSG00000163874:ZC3H12A	2704	3445	2704	3309	2307	2254	5234	4905	5192
ENSG00000162461:SLC25A34	98	76	95	91	45	64	65	62	73
ENSG00000198089:SFI1	3577	3548	3310	5074	3228	3304	3547	3907	3986
ENSG00000183888:SRARP	51315	56731	50195	73664	55449	56591	57265	57085	66930
ENSG00000099377:HSD3B7	0	0	1	2	1	0	1	1	0
ENSG00000163946:TASOR	2	12	8	4	6	8	0	1	0
ENSG00000277775:H3C7	4	8	3	15	7	15	14	6	6
ENSG00000187720:THSD4	469	478	491	689	458	492	155	156	156
ENSG00000147234:FRMPD3	2009	2152	1999	2614	1964	1955	1160	1344	1436
ENSG00000120500:ARR3	550	538	557	666	482	469	821	962	984
ENSG00000130755:GMFG	1298	1306	1234	1929	1468	1367	930	917	986
ENSG00000165821:SALL2	859	806	805	1052	738	826	804	999	1032
ENSG00000122299:ZC3H7A	650	674	681	952	639	746	339	369	376
ENSG00000196684:HSH2D	5146	5429	5095	7588	5284	5726	3760	4184	4461
ENSG00000181634:TNFSF15	2462	2740	2416	2462	1918	1928	1005	1161	1298
ENSG00000154438:ASZ1	1194	1172	1074	1945	1344	1379	1416	1180	1181
ENSG00000174437:ATP2A2	107	135	126	145	129	115	140	114	136
ENSG00000163735:CXCL5	118	145	118	186	119	133	48	31	70
ENSG00000179918:SEPHS2	2932	2911	2926	4415	3077	3164	2685	2745	2686
ENSG00000137942:FNBP1L	4544	4601	4599	5988	4253	4207	3544	3350	3020
ENSG00000160392:C19orf47	7074	7675	7016	7384	5213	5415	8154	8599	9188
ENSG00000169291:SHE	1	6	1	1	1	4	0	1	0
ENSG00000141562:NARF	76	78	69	95	55	59	66	70	72
ENSG00000087903:RFX2	3	1	2	1	1	2	0	2	5
ENSG00000139719:VPS33A	3211	3417	3283	4968	3491	3419	2240	2334	2400
ENSG00000262246:CORO7	921	982	792	1297	923	929	535	700	819
ENSG00000145107:TM4SF19	395	385	366	474	324	333	121	107	157
ENSG00000184117:NIPSNAP1	10	4	11	19	11	24	3	3	2
ENSG00000135632:SMYD5	4325	5090	4574	7056	5233	5403	6457	6025	6979
ENSG00000143839:REN	0	0	0	1	1	2	0	0	0
ENSG00000099721:AMELY	35	32	40	47	22	34	47	64	82
ENSG00000134056:MRPS36	2143	2465	2367	3287	2344	2484	3347	3855	4159
ENSG00000111666:CHPT1	2745	3144	2907	4255	3138	3150	2990	3238	3440
ENSG00000283288:SMIM33	4109	4171	4140	5603	3815	3957	3630	3862	3916
ENSG00000128510:CPA4	3	6	2	4	2	4	8	16	17
ENSG00000135119:RNFT2	765	771	805	1176	877	806	876	918	874
ENSG00000176834:VSIG10	357	393	369	362	322	319	153	203	190
ENSG00000204628:RACK1	1474	1487	1496	1946	1310	1510	398	513	657
ENSG00000044115:CTNNA1	831	903	792	1123	781	893	428	563	655
ENSG00000153815:CMIP	194	214	169	189	174	164	352	440	516
ENSG00000244607:CCDC13	4421	4800	4309	6769	4715	5518	3611	4041	4533
ENSG00000213714:FAM209B	3083	3221	3120	5942	4212	4510	2733	3001	3478
ENSG00000117280:RAB29	1213	1248	1182	1652	1201	1366	875	1169	1384
ENSG00000105641:SLC5A5	65	71	58	62	52	75	15	14	12
ENSG00000059145:UNKL	876	932	895	1215	834	850	529	553	566
ENSG00000152219:ARL14EP	1411	1475	1587	1839	1245	1345	737	829	848
ENSG00000269743:SLC25A53	0	1	1	0	0	0	0	0	1
ENSG00000130005:GAMT	65	79	94	97	61	50	331	368	479
ENSG00000184708:EIF4ENIF1	2029	2119	2024	3035	2055	2231	2051	2469	2711
ENSG00000126778:SIX1	2053	2131	2043	2415	1761	1791	1712	2217	2484
ENSG00000169851:PCDH7	4384	4644	4346	6239	4300	4507	4759	5137	5494
ENSG00000174327:SLC16A13	1917	2062	1961	2410	1781	1939	1092	1393	1642
ENSG00000131732:ZCCHC9	983	1083	1102	1107	680	763	1051	1225	1308
ENSG00000156194:PPEF2	194	177	175	278	162	176	80	82	140
ENSG00000231396:USP17L10	1269	1136	1188	1673	1150	1173	1335	1260	1304
ENSG00000054356:PTPRN	360	386	350	464	316	328	238	232	289
ENSG00000135211:TMEM60	0	0	0	0	0	0	0	0	0
ENSG00000111445:RFC5	67	56	73	87	116	75	20	16	30
ENSG00000178358:OR2D3	5	1	3	0	2	1	0	0	0
ENSG00000125676:THOC2	0	0	0	0	0	0	0	0	0
ENSG00000138650:PCDH10	0	0	0	0	0	0	0	0	0
ENSG00000078369:GNB1	0	0	0	0	0	0	0	0	0
ENSG00000250374:TRIM75P	3	2	1	0	0	0	6	3	5
ENSG00000132744:ACY3	0	0	0	0	0	0	0	0	0
ENSG00000197416:FABP12	0	0	0	0	0	0	0	0	0
ENSG00000128052:KDR	0	0	0	0	0	0	0	0	0
ENSG00000013293:SLC7A14	0	0	0	0	0	0	2	0	0
ENSG00000279782:PPIAL4F	0	0	0	0	0	0	0	0	0
ENSG00000243696:AC006254.1	0	0	0	0	0	0	0	0	0
ENSG00000172731:LRRC20	0	0	1	0	0	0	0	0	0
ENSG00000162670:BRINP3	0	0	0	0	0	0	0	0	0
ENSG00000213096:ZNF254	0	0	0	0	0	0	0	0	0
ENSG00000002586:CD99	0	0	0	0	0	0	0	0	0
ENSG00000122176:FMOD	1	2	0	5	2	0	3	2	2
ENSG00000164821:DEFA4	0	0	0	0	0	0	0	0	0
ENSG00000256045:MTRNR2L10	0	0	0	0	0	0	0	0	0
ENSG00000105784:RUNDC3B	0	1	0	0	0	0	0	0	0
ENSG00000251655:PRB1	0	0	0	0	0	0	0	0	0
ENSG00000110436:SLC1A2	0	0	0	0	0	0	2	0	0
ENSG00000036054:TBC1D23	0	0	0	0	0	0	0	0	0
ENSG00000110925:CSRNP2	0	0	0	0	0	0	0	0	0
ENSG00000104518:GSDMD	0	0	0	0	0	0	0	0	0
ENSG00000011028:MRC2	0	0	0	0	0	0	0	0	0
ENSG00000214360:EFCAB9	0	0	0	0	0	0	0	0	0
ENSG00000113734:BNIP1	0	1	0	0	0	0	0	0	0
ENSG00000185933:CALHM1	3	8	5	3	4	4	1	8	0
ENSG00000221818:EBF2	2509	2697	2515	3372	2302	2481	3854	4123	4482
ENSG00000087842:PIR	991	1036	997	1476	925	889	1370	1260	1290
ENSG00000120471:TP53AIP1	1090	1089	1033	1155	772	841	563	710	744
ENSG00000008083:JARID2	148	165	173	251	172	186	166	189	182
ENSG00000061492:WNT8A	30	31	32	47	38	48	54	60	40
ENSG00000158246:TENT5B	933	1000	823	1052	690	715	822	962	1117
ENSG00000258388:PPT2-EGFL8	2	1	3	3	1	1	0	0	0
ENSG00000144045:DQX1	0	0	0	0	0	0	0	0	0
ENSG00000187815:ZFP69	0	2	0	0	1	0	0	0	0
ENSG00000184166:OR1D2	235	238	309	423	303	267	195	180	199
ENSG00000135823:STX6	811	797	766	1340	919	928	928	889	851
ENSG00000243232:PCDHAC2	359	448	414	671	442	486	434	460	472
ENSG00000095380:NANS	1928	2007	1771	2784	1909	1935	2950	2900	2611
ENSG00000151136:BTBD11	0	0	0	0	0	0	0	0	0
ENSG00000258864:AC008575.1	2599	2704	2577	3753	2558	2731	1942	2312	2621
ENSG00000204681:GABBR1	153	200	161	301	145	210	103	163	209
ENSG00000105388:CEACAM5	13	4	8	3	3	4	0	0	0
ENSG00000073578:SDHA	1378	1474	1582	2171	1392	1560	1066	1347	1364
ENSG00000266302:AC098850.3	179	225	178	336	210	201	186	195	207
ENSG00000168348:INSM2	3936	3629	3770	5194	3634	3718	3292	3628	3404
ENSG00000159055:MIS18A	646	714	661	989	758	773	597	779	887
ENSG00000168924:LETM1	0	4	2	2	1	4	0	1	0
ENSG00000091542:ALKBH5	41	54	50	43	28	21	140	160	203
ENSG00000250305:TRMT9B	40	60	50	24	27	17	10	16	25
ENSG00000163349:HIPK1	142	138	140	160	110	128	13	14	15
ENSG00000112759:SLC29A1	105	130	120	128	70	93	12	22	26
ENSG00000153233:PTPRR	3810	3929	3936	5402	3725	4085	3602	4473	4572
ENSG00000261509:TP53TG3B	225	258	196	307	188	212	143	165	174
ENSG00000144476:ACKR3	81	52	60	69	48	53	35	44	44
ENSG00000167470:MIDN	860	928	943	1459	997	997	1079	1156	1088
ENSG00000204613:TRIM10	4015	4405	4090	6855	4924	5116	5886	6579	7024
ENSG00000010810:FYN	10	12	17	15	8	9	14	26	15
ENSG00000196242:OR2C3	1123	1272	1089	1588	1219	1170	1350	1513	1651
ENSG00000182093:GET1	1125	1249	1299	1824	1268	1290	1140	1152	1096
ENSG00000134376:CRB1	2449	2413	2436	3238	2064	2296	1130	1315	1495
ENSG00000125991:ERGIC3	2789	3185	2786	3876	2897	3174	2332	2715	3083
ENSG00000268651:CTAG1A	1527	1691	1673	1824	1273	1495	1337	1582	1673
ENSG00000154143:PANX3	0	0	0	0	0	0	0	0	0
ENSG00000146678:IGFBP1	1528	1611	1532	2095	1475	1588	1290	1396	1538
ENSG00000163611:SPICE1	338	380	404	339	256	252	127	118	155
ENSG00000160117:ANKLE1	56	79	51	64	37	49	7	14	23
ENSG00000094880:CDC23	218	217	282	215	198	209	8	9	13
ENSG00000104856:RELB	20	30	29	39	28	18	3	2	0
ENSG00000108528:SLC25A11	1	0	2	1	0	4	0	0	1
ENSG00000204673:AKT1S1	12855	14074	13890	19371	12735	14270	14296	14865	16280
ENSG00000121005:CRISPLD1	1315	1429	1315	1931	1210	1464	1014	1213	1386
ENSG00000157240:FZD1	5	7	7	12	10	7	108	128	134
ENSG00000170835:CEL	130	148	175	152	70	123	9	14	19
ENSG00000135315:CEP162	502	585	513	801	592	669	324	326	331
ENSG00000155827:RNF20	48	61	48	63	58	66	0	5	0
ENSG00000139890:REM2	1	0	0	0	0	0	0	0	0
ENSG00000144119:C1QL2	503	651	587	709	528	621	393	509	533
ENSG00000187123:LYPD6	823	924	913	1087	700	761	1380	1466	1503
ENSG00000049759:NEDD4L	9719	9094	10076	12967	8422	9051	9119	9860	9042
ENSG00000179344:HLA-DQB1	2120	2133	2094	2654	1814	1896	2736	2796	2761
ENSG00000102007:PLP2	2009	2369	1996	3564	2427	2527	2857	3061	3591
ENSG00000167359:OR51I1	85	78	107	101	55	77	16	32	42
ENSG00000185130:H2BC13	597	669	564	944	727	790	580	619	643
ENSG00000061938:TNK2	666	761	798	978	614	769	512	639	761
ENSG00000120217:CD274	4891	5318	4788	7464	5338	5636	6073	5945	6711
ENSG00000284776:AL121900.1	192	203	184	313	243	274	276	310	440
ENSG00000103154:NECAB2	219	276	286	300	250	250	490	590	635
ENSG00000162496:DHRS3	0	0	0	0	0	0	0	0	0
ENSG00000085871:MGST2	215	229	206	199	145	156	20	48	47
ENSG00000196914:ARHGEF12	136	151	170	123	109	97	108	89	116
ENSG00000130711:PRDM12	1	0	0	0	0	0	0	0	0
ENSG00000176547:OR4C3	1725	1764	1879	2893	1796	1998	1120	1209	1123
ENSG00000130950:NUTM2F	0	0	0	0	0	0	0	0	0
ENSG00000105429:MEGF8	160	175	129	319	179	230	11	11	9
ENSG00000180871:CXCR2	0	2	1	2	2	2	1	0	0
ENSG00000180233:ZNRF2	0	0	0	0	0	1	0	0	0
ENSG00000151465:CDC123	0	0	3	2	0	1	0	0	0
ENSG00000124237:C20orf85	2	1	0	2	0	1	0	0	1
ENSG00000050344:NFE2L3	58	55	66	84	58	57	42	65	58
ENSG00000136108:CKAP2	31	41	38	30	36	25	11	1	9
ENSG00000147439:BIN3	566	600	474	798	484	468	355	370	383
ENSG00000182634:OR10G7	705	765	731	1011	728	739	821	958	1038
ENSG00000205250:E2F4	364	297	323	433	251	310	135	151	176
ENSG00000073008:PVR	110	108	143	152	119	150	12	17	18
ENSG00000204160:ZDHHC18	1351	1380	1281	1770	1195	1442	736	792	857
ENSG00000189253:TRIM64B	5372	6228	5896	7746	5649	5860	6255	7485	8153
ENSG00000127586:CHTF18	424	414	398	355	283	297	137	156	173
ENSG00000115507:OTX1	362	413	482	402	262	329	193	188	186
ENSG00000147852:VLDLR	4965	5415	5322	7613	5014	5209	4541	4349	4177
ENSG00000153029:MR1	2563	2612	2468	3868	2797	2778	2518	2467	2421
ENSG00000089818:NECAP1	2369	2359	2389	3015	2110	2334	2577	3106	3325
ENSG00000029363:BCLAF1	390	327	384	384	289	297	145	178	126
ENSG00000163394:CCKAR	5460	5558	5440	6732	4678	5151	2885	3358	3855
ENSG00000124333:VAMP7	611	651	689	900	597	697	154	101	143
ENSG00000114115:RBP1	3160	3229	3059	5294	3454	3823	3070	2872	3241
ENSG00000106853:PTGR1	281	319	270	350	257	271	151	188	216
ENSG00000011052:NME1-NME2	9580	9375	9776	10849	7929	8039	7695	10011	10064
ENSG00000218739:CEBPZOS	1	0	0	1	0	0	0	0	0
ENSG00000102760:RGCC	0	0	0	0	0	0	0	0	0
ENSG00000119522:DENND1A	6832	7556	6408	11285	8083	7567	8559	8535	9054
ENSG00000130377:ACSBG2	52	68	58	135	72	87	26	32	28
ENSG00000126759:CFP	1006	1124	1135	1701	1095	1271	1502	1530	1569
ENSG00000198019:FCGR1B	265	276	326	262	199	195	84	153	114
ENSG00000276612:FP565260.2	0	0	0	0	0	0	2	0	0
ENSG00000182473:EXOC7	0	0	0	0	0	0	0	0	0
ENSG00000141428:C18orf21	0	0	0	0	1	0	0	0	0
ENSG00000196290:NIF3L1	802	685	715	956	644	688	224	278	298
ENSG00000255245:FXYD6-FXYD2	0	0	0	0	0	1	0	0	0
ENSG00000163512:AZI2	3	2	5	8	6	5	2	4	4
ENSG00000113407:TARS1	8046	9085	8002	11728	8401	8752	5791	5953	6358
ENSG00000172987:HPSE2	2518	2685	2685	3629	2820	2680	4667	4826	4552
ENSG00000102924:CBLN1	90	115	105	111	135	109	57	48	73
ENSG00000120332:TNN	7950	9329	8420	12446	9001	9156	11017	10858	11321
ENSG00000112379:ARFGEF3	98	111	121	110	102	87	358	300	282
ENSG00000165959:CLMN	136	151	111	153	138	100	133	125	117
ENSG00000135446:CDK4	1220	1321	1478	1524	1025	1136	941	1172	1182
ENSG00000285437:POLR2J3	257	321	316	394	288	278	160	234	234
ENSG00000119431:HDHD3	5978	6635	6213	7697	5386	5893	8077	10201	11211
ENSG00000136003:ISCU	12797	14338	11918	23008	16922	16399	10925	11266	13342
ENSG00000189058:APOD	2032	2135	1958	3251	2372	2327	3261	3156	3378
ENSG00000133454:MYO18B	1519	1708	1450	2786	1803	1905	1231	1398	1496
ENSG00000174891:RSRC1	2476	2626	2463	4106	2915	3219	2339	2988	3313
ENSG00000100024:UPB1	452	524	504	873	599	698	411	477	564
ENSG00000170929:OR1M1	543	559	563	741	622	564	207	232	293
ENSG00000275152:CCL16	223	290	261	342	249	261	452	513	503
ENSG00000141431:ASXL3	2	0	2	0	2	1	3	0	2
ENSG00000135250:SRPK2	6106	6939	6548	7557	5750	5728	7410	6523	6887
ENSG00000196646:ZNF136	7739	8183	7839	11176	8048	8138	9865	8786	8737
ENSG00000283205:AL353572.3	41	51	30	79	47	55	23	13	18
ENSG00000119801:YPEL5	31	36	25	71	32	48	18	10	21
ENSG00000151468:CCDC3	299	313	280	394	245	249	146	182	171
ENSG00000137500:CCDC90B	934	1142	1058	1613	1295	1215	641	645	735
ENSG00000267710:EDDM13	581	656	609	754	545	506	250	275	293
ENSG00000279686:AC142391.1	562	588	517	818	568	599	828	950	1022
ENSG00000105963:ADAP1	1564	1633	1667	2375	1745	1676	1144	1090	1055
ENSG00000116030:SUMO1	3	3	6	6	1	2	0	1	0
ENSG00000179813:FAM216B	11696	11493	10062	19545	11580	12446	8595	8601	9290
ENSG00000169327:OR5AU1	15547	16358	15376	18602	14183	12862	16322	14824	13984
ENSG00000164509:IL31RA	723	826	735	902	623	651	2040	2646	2937
ENSG00000258989:AL355916.3	1268	1397	1234	2286	1596	1611	1668	1569	1754
ENSG00000178343:SHISA3	1570	1645	1592	2509	1759	1951	2077	2263	2560
ENSG00000188177:ZC3H6	7	15	5	26	19	13	43	45	42
ENSG00000148773:MKI67	3452	4094	3690	5778	4276	4346	3459	3637	3837
ENSG00000104980:TIMM44	34	41	28	46	26	43	15	26	22
ENSG00000188010:MORN2	519	571	524	889	650	615	1082	1144	1201
ENSG00000175348:TMEM9B	1297	1389	1279	1717	1281	1453	1560	1739	1938
ENSG00000188487:INSC	1045	1093	1067	1401	996	1063	1047	1209	1303
ENSG00000156920:ADGRG4	8193	8744	8427	11671	7980	8690	6593	7579	8314
ENSG00000271425:NBPF10	0	0	0	0	0	0	0	0	0
ENSG00000166710:B2M	1085	1082	1085	1805	1295	1471	1000	1135	1252
ENSG00000039523:RIPOR1	732	734	635	897	662	694	487	543	599
ENSG00000177602:HASPIN	905	997	925	1210	774	864	704	788	915
ENSG00000166275:BORCS7	18388	19629	17486	27722	20496	20651	11704	11642	12731
ENSG00000196436:NPIPB15	732	805	741	902	748	635	807	759	775
ENSG00000170745:KCNS3	60	49	69	62	49	27	89	97	117
ENSG00000187193:MT1X	24	19	25	90	68	70	19	14	22
ENSG00000158014:SLC30A2	2	5	6	9	7	15	0	1	3
ENSG00000273111:LYPD4	279	319	197	412	285	239	186	190	190
ENSG00000134308:YWHAQ	26	21	17	6	6	7	40	61	42
ENSG00000196924:FLNA	8	4	2	5	9	16	0	0	0
ENSG00000126106:TMEM53	29	60	59	69	41	58	44	47	44
ENSG00000214946:TBC1D26	677	787	709	984	778	734	559	762	856
ENSG00000260836:AC245033.1	692	741	707	1107	693	772	293	354	414
ENSG00000157890:MEGF11	10	16	13	17	11	6	1	6	4
ENSG00000169189:NSMCE1	2209	2439	2481	3180	2243	2274	1256	1265	1389
ENSG00000159023:EPB41	1795	1943	1718	2625	1933	1960	2260	2811	3605
ENSG00000140367:UBE2Q2	470	665	585	822	601	620	503	605	638
ENSG00000136732:GYPC	196	143	167	295	231	226	26	44	32
ENSG00000131788:PIAS3	459	521	458	587	434	508	89	148	138
ENSG00000197540:GZMM	0	1	1	0	0	0	0	1	0
ENSG00000185046:ANKS1B	53983	54788	50173	88672	59808	61793	36830	36302	35507
ENSG00000166111:SVOP	1722	1829	1662	2539	1701	1715	1761	2100	2203
ENSG00000121931:LRIF1	18589	21600	17535	32974	23619	24586	17460	17171	19983
ENSG00000248771:SMIM31	3336	3581	3413	4830	3344	3582	1597	1789	1773
ENSG00000180210:F2	8672	8428	8377	11902	7750	8074	8240	9019	9266
ENSG00000198398:TMEM207	533	624	523	858	576	622	329	356	400
ENSG00000285053:TBCE	2137	2449	2360	3443	2366	2454	1541	1850	2096
ENSG00000203859:HSD3B2	191	216	203	289	180	172	54	54	67
ENSG00000116001:TIA1	1219	1343	1264	1786	1334	1365	1209	1471	1548
ENSG00000196171:OR6K2	728	800	736	1179	762	856	832	897	1012
ENSG00000196767:POU3F4	6950	7584	6888	9479	6759	7377	8430	9183	10853
ENSG00000171160:MORN4	1	0	0	0	0	0	0	0	0
ENSG00000089157:RPLP0	124	116	107	188	104	128	44	29	58
ENSG00000211448:DIO2	874	997	957	1286	825	948	942	1099	1161
ENSG00000168447:SCNN1B	1587	1759	1644	2874	1871	2195	1458	1693	2045
ENSG00000101444:AHCY	1311	1299	1361	1853	1217	1437	1376	1724	1863
ENSG00000169247:SH3TC2	1862	1937	1778	2469	1766	1834	944	1122	1250
ENSG00000119673:ACOT2	788	942	845	1255	872	929	1115	1384	1490
ENSG00000166166:TRMT61A	682	734	758	1061	678	769	185	246	263
ENSG00000174132:FAM174A	840	948	938	1159	894	967	289	358	378
ENSG00000165548:TMEM63C	4	5	4	17	9	6	1	1	1
ENSG00000130164:LDLR	43	31	39	42	38	41	4	5	2
ENSG00000175809:CBLL2	586	577	511	591	364	407	215	208	263
ENSG00000124275:MTRR	8497	8440	8148	9837	6857	6983	5557	5997	6242
ENSG00000109670:FBXW7	2821	2778	2865	4148	2904	2939	1550	2076	2132
